street_predir,street_name,street_suffix,street_postdir
W,GIRARD,AVE,
E,GLENWOOD,AVE,
W,GLENWOOD,AVE,
E,GODFREY,AVE,
W,GODFREY,AVE,
E,GORDON,ST,
W,GORDON,ST,
E,GORGAS,LN,
W,GORGAS,LN,
E,GOWEN,AVE,
W,GOWEN,AVE,
W,GRANGE,AVE,
N,GRATZ,ST,
E,GRAVERS,LN,
W,GRAVERS,LN,
N,GROSS,ST,
S,GROSS,ST,
E,GURNEY,ST,
W,GURNEY,ST,
E,HAGERT,ST,
W,HAGERT,ST,
E,HAINES,ST,
W,HAINES,ST,
E,HAMPTON,RD,
W,HAMPTON,RD,
N,HANCOCK,ST,
S,HANCOCK,ST,
S,HARMONY,ST,
E,HAROLD,ST,
W,HAROLD,ST,
E,HARPER,ST,
W,HARPER,ST,
E,HARTWELL,LN,
W,HARTWELL,LN,
E,HAZZARD,ST,
W,HAZZARD,ST,
N,HEMBERGER,ST,
S,HEMBERGER,ST,
N,HEREFORD,LN,
S,HEREFORD,LN,
E,HEWSON,ST,
W,HEWSON,ST,
N,HICKS,ST,
S,HICKS,ST,
E,HIGHLAND,AVE,
W,HIGHLAND,AVE,
E,HILL CREEK,DR,
N,HILL CREEK,DR,
S,HILL CREEK,DR,
W,HILL CREEK,DR,
E,HILTON,ST,
W,HILTON,ST,
N,HIRST,ST,
S,HIRST,ST,
N,HOBART,ST,
E,HOLLINGSWORTH,ST,
W,HOLLINGSWORTH,ST,
N,HOLLY,ST,
S,HOLLY,ST,
N,HOLLYWOOD,ST,
S,HOLLYWOOD,ST,
E,HORTTER,ST,
W,HORTTER,ST,
N,HOWARD,ST,
S,HOWARD,ST,
E,HUNTING PARK,AVE,
W,HUNTING PARK,AVE,
W,HUNTINGDON,DR,
E,HUNTINGDON,ST,
W,HUNTINGDON,ST,
N,HUTCHINSON,ST,
S,HUTCHINSON,ST,
N,INDEPENDENCE,MALL,E
N,INDEPENDENCE,MALL,W
S,INDEPENDENCE,MALL,E
S,INDEPENDENCE,MALL,W
E,INDIANA,AVE,
W,INDIANA,AVE,
S,ISEMINGER,ST,
N,ITHAN,ST,
S,ITHAN,ST,
N,JEFFERSON,LN,
W,JEROME,ST,
N,JESSUP,ST,
S,JESSUP,ST,
